text,rating,length,clean_text,word_count,normalized_text,tokens,final_text
gw si yes,5,9,gw si yes,3,gw si yes,"['gw', 'si', 'yes']",gw si yes
ok tapi kasihan driver nya,4,26,ok tapi kasihan driver nya,5,baik tapi kasihan driver nya,"['baik', 'kasihan', 'driver', 'nya']",baik kasihan driver nya
sejauh ini masih memuaskan pelayanannya,4,39,sejauh ini masih memuaskan pelayanannya,5,sejauh ini masih memuaskan pelayanannya,"['jauh', 'muas', 'layan']",jauh muas layan
"susahnya dapet driver di majalengka, gak kaya ijo sebelah drivernya banyak jadi cepet..",3,87,susahnya dapet driver di majalengka gak kaya ijo sebelah drivernya banyak jadi cepet,13,susahnya dapet driver di majalengka gak kaya ijo sebelah drivernya banyak jadi cepet,"['susah', 'dapet', 'driver', 'majalengka', 'gak', 'kaya', 'ijo', 'belah', 'drivernya', 'banyak', 'jadi', 'cepet']",susah dapet driver majalengka gak kaya ijo belah drivernya banyak jadi cepet
"gojek kenapa driver nya pada gada respon kalo ambil makanan? customer udh nunggu lama tiba2 di batalkan secara terus menerus bergantian drivernya pada cancel semua!!! kalo memang gak niat ambil makanan nya di batalin aja di awal!!! ini udh nunggu lama malah pada cancel drivernya tanpa alasan apa2!!! masalah nya bukan 1x cancel, tapi bbrapa kali!!!... untung ada pak isharyanto yg mau ambil orderan buat nganterin makanan nya, semoga sehat selalu pak🙏",5,452,gojek kenapa driver nya pada gada respon kalo ambil makanan customer udh nunggu lama tiba di batalkan secara terus menerus bergantian drivernya pada cancel semua kalo memang gak niat ambil makanan nya di batalin aja di awal ini udh nunggu lama malah pada cancel drivernya tanpa alasan apa masalah nya bukan x cancel tapi bbrapa kali untung ada pak isharyanto yg mau ambil orderan buat nganterin makanan nya semoga sehat selalu pak,72,gojek kenapa driver nya pada gada respon kalo ambil makanan customer sudah nunggu lama tiba di batalkan secara terus menerus bergantian drivernya pada cancel semua kalo memang gak niat ambil makanan nya di batalin saja di awal ini sudah nunggu lama malah pada cancel drivernya tanpa alasan apa masalah nya bukan x cancel tapi bbrapa kali untung ada pak isharyanto yg mau ambil orderan buat nganterin makanan nya semoga sehat selalu pak,"['gojek', 'driver', 'nya', 'gada', 'respon', 'kalo', 'ambil', 'makan', 'customer', 'nunggu', 'lama', 'tiba', 'batal', 'terus', 'terus', 'ganti', 'drivernya', 'cancel', 'semua', 'kalo', 'memang', 'gak', 'niat', 'ambil', 'makan', 'nya', 'batalin', 'awal', 'nunggu', 'lama', 'malah', 'cancel', 'drivernya', 'alas', 'apa', 'masalah', 'nya', 'bukan', 'x', 'cancel', 'bbrapa', 'kali', 'untung', 'pak', 'isharyanto', 'yg', 'mau', 'ambil', 'order', 'buat', 'nganterin', 'makan', 'nya', 'moga', 'sehat', 'selalu', 'pak']",gojek driver nya gada respon kalo ambil makan customer nunggu lama tiba batal terus terus ganti drivernya cancel semua kalo memang gak niat ambil makan nya batalin awal nunggu lama malah cancel drivernya alas apa masalah nya bukan x cancel bbrapa kali untung pak isharyanto yg mau ambil order buat nganterin makan nya moga sehat selalu pak
harga udh gk masuk akal,1,23,harga udh gk masuk akal,5,harga sudah tidak masuk akal,"['harga', 'masuk', 'akal']",harga masuk akal
"gojek sampah, nggak bisa bayar pake qris",1,40,gojek sampah nggak bisa bayar pake qris,7,gojek sampah tidak bisa bayar pake qris,"['gojek', 'sampah', 'bayar', 'pake', 'qris']",gojek sampah bayar pake qris
gojeg sngat mmbntu sekali,5,25,gojeg sngat mmbntu sekali,4,gojeg sngat mmbntu sekali,"['gojeg', 'sngat', 'mmbntu', 'sekali']",gojeg sngat mmbntu sekali
udah paling mantep lah buat anter jemput sama beli makanan,5,58,udah paling mantep lah buat anter jemput sama beli makanan,10,udah paling mantep lah buat anter jemput sama beli makanan,"['udah', 'paling', 'mantep', 'lah', 'buat', 'anter', 'jemput', 'sama', 'beli', 'makan']",udah paling mantep lah buat anter jemput sama beli makan
sekarang masalahnyaa kalau scrool go food kenapa yaa restonya itu gak bisa banyak trus munculnya itu lagi itu lagi,4,114,sekarang masalahnyaa kalau scrool go food kenapa yaa restonya itu gak bisa banyak trus munculnya itu lagi itu lagi,19,sekarang masalahnyaa kalau scrool go food kenapa yaa restonya itu gak bisa banyak trus munculnya itu lagi itu lagi,"['sekarang', 'masalahnyaa', 'kalau', 'scrool', 'go', 'food', 'yaa', 'restonya', 'gak', 'banyak', 'trus', 'muncul']",sekarang masalahnyaa kalau scrool go food yaa restonya gak banyak trus muncul
aplikasi yg paling susah dapet driver. asu!,2,43,aplikasi yg paling susah dapet driver asu,7,aplikasi yg paling susah dapet driver asu,"['aplikasi', 'yg', 'paling', 'susah', 'dapet', 'driver', 'asu']",aplikasi yg paling susah dapet driver asu
"driver ga pernah bawa uang kembalian. kalo beli atau mau kemana pake metode bayar tunai itu ga selalu ada uang pas, tapi driver ga mau ngasih kembalian, ditawarin transfer juga gamau, saya jadi telat masuk kantor gara2 driver gamau di tf dan ga ada kembalian. harusnya kalo gamau di tf sediain kembalian!!",1,305,driver ga pernah bawa uang kembalian kalo beli atau mau kemana pake metode bayar tunai itu ga selalu ada uang pas tapi driver ga mau ngasih kembalian ditawarin transfer juga gamau saya jadi telat masuk kantor gara driver gamau di tf dan ga ada kembalian harusnya kalo gamau di tf sediain kembalian,52,driver tidak pernah bawa uang kembalian kalo beli atau mau kemana pake metode bayar tunai itu tidak selalu ada uang pas tapi driver tidak mau ngasih kembalian ditawarin transfer juga gamau saya jadi telat masuk kantor gara driver gamau di tf dan tidak ada kembalian harusnya kalo gamau di tf sediain kembalian,"['driver', 'pernah', 'bawa', 'uang', 'kembali', 'kalo', 'beli', 'mau', 'pake', 'metode', 'bayar', 'tunai', 'selalu', 'uang', 'pas', 'driver', 'mau', 'ngasih', 'kembali', 'ditawarin', 'transfer', 'gamau', 'jadi', 'telat', 'masuk', 'kantor', 'gara', 'driver', 'gamau', 'tf', 'kembali', 'harus', 'kalo', 'gamau', 'tf', 'ain', 'kembali']",driver pernah bawa uang kembali kalo beli mau pake metode bayar tunai selalu uang pas driver mau ngasih kembali ditawarin transfer gamau jadi telat masuk kantor gara driver gamau tf kembali harus kalo gamau tf ain kembali
tolong diklasifikasikan dengan jelas mobil confort dengan mobil yg gk confort!! avanza dengan all new avanza jelas bedanya apalagi dengan calya dsb!!! harga comfort dikasih mobil yg gk confort ya rugi lah!!!,1,207,tolong diklasifikasikan dengan jelas mobil confort dengan mobil yg gk confort avanza dengan all new avanza jelas bedanya apalagi dengan calya dsb harga comfort dikasih mobil yg gk confort ya rugi lah,32,tolong diklasifikasikan dengan jelas mobil confort dengan mobil yg tidak confort avanza dengan all new avanza jelas bedanya apalagi dengan calya dsb harga comfort dikasih mobil yg tidak confort ya rugi lah,"['klasifikasi', 'jelas', 'mobil', 'confort', 'mobil', 'yg', 'confort', 'avanza', 'all', 'new', 'avanza', 'jelas', 'beda', 'calya', 'harga', 'comfort', 'kasih', 'mobil', 'yg', 'confort', 'rugi', 'lah']",klasifikasi jelas mobil confort mobil yg confort avanza all new avanza jelas beda calya harga comfort kasih mobil yg confort rugi lah
aman sat set,5,12,aman sat set,3,aman sat set,"['aman', 'sat', 'set']",aman sat set
bagus pakai gojek amanah drevernya,5,34,bagus pakai gojek amanah drevernya,5,bagus pakai gojek amanah drevernya,"['bagus', 'pakai', 'gojek', 'amanah', 'drevernya']",bagus pakai gojek amanah drevernya
aku suka apk gojek selagi membutuhkan sangat cepat dan aku percaya semua mas ataupun mbak drevernya sll dapat di percaya dan baik2 semoga sukses,5,144,aku suka apk gojek selagi membutuhkan sangat cepat dan aku percaya semua mas ataupun mbak drevernya sll dapat di percaya dan baik semoga sukses,24,aku suka apk gojek selagi membutuhkan sangat cepat dan aku percaya semua mas ataupun mbak drevernya sll dapat di percaya dan baik semoga sukses,"['aku', 'suka', 'apk', 'gojek', 'butuh', 'sangat', 'cepat', 'aku', 'percaya', 'semua', 'mas', 'atau', 'mbak', 'drevernya', 'sll', 'percaya', 'baik', 'moga', 'sukses']",aku suka apk gojek butuh sangat cepat aku percaya semua mas atau mbak drevernya sll percaya baik moga sukses
layanan cepat dan gampang,5,25,layanan cepat dan gampang,4,layanan cepat dan gampang,"['layan', 'cepat', 'gampang']",layan cepat gampang
"kasih fitur buat costumers buat accept driver, ada beberapa driver yg maen accept aja sebelum sampai ke tujuan lokasi jemput itu annoying banget ,jadi ga bisa batal boking atau cancle",2,183,kasih fitur buat costumers buat accept driver ada beberapa driver yg maen accept aja sebelum sampai ke tujuan lokasi jemput itu annoying banget jadi ga bisa batal boking atau cancle,30,kasih fitur buat costumers buat accept driver ada beberapa driver yg maen accept saja sebelum sampai ke tujuan lokasi jemput itu annoying banget jadi tidak bisa batal boking atau cancle,"['kasih', 'fitur', 'buat', 'costumers', 'buat', 'accept', 'driver', 'beberapa', 'driver', 'yg', 'maen', 'accept', 'tuju', 'lokasi', 'jemput', 'annoying', 'banget', 'jadi', 'batal', 'boking', 'cancle']",kasih fitur buat costumers buat accept driver beberapa driver yg maen accept tuju lokasi jemput annoying banget jadi batal boking cancle
"murah menyenangkan kantong, transportasi rakyat",4,47,murah menyenangkan kantong transportasi rakyat,5,murah menyenangkan kantong transportasi rakyat,"['murah', 'senang', 'kantong', 'transportasi', 'rakyat']",murah senang kantong transportasi rakyat
"serba mahal, ongkir makanan apalagi. lapor ke cs juga jawaban ga memuaskan, ga ada solusi",1,89,serba mahal ongkir makanan apalagi lapor ke cs juga jawaban ga memuaskan ga ada solusi,15,serba mahal ongkir makanan apalagi lapor ke cs juga jawaban tidak memuaskan tidak ada solusi,"['serba', 'mahal', 'ongkir', 'makan', 'lapor', 'cs', 'jawab', 'muas', 'solusi']",serba mahal ongkir makan lapor cs jawab muas solusi
"aplikasi yg sangat membantu terutama gosend, terimakasih",5,56,aplikasi yg sangat membantu terutama gosend terimakasih,7,aplikasi yg sangat membantu terutama gosend terimakasih,"['aplikasi', 'yg', 'sangat', 'bantu', 'utama', 'gosend', 'terimakasih']",aplikasi yg sangat bantu utama gosend terimakasih
"makin kesini driver makin sering ga mau ambil orderan, mana banyak yg julid juga, padahal gua kalo mesen selalu lebihin minimal 20rb. akhirnya gua pilih pindah bluebird aja yg lebih sedikit drama",1,195,makin kesini driver makin sering ga mau ambil orderan mana banyak yg julid juga padahal gua kalo mesen selalu lebihin minimal rb akhirnya gua pilih pindah bluebird aja yg lebih sedikit drama,32,makin kesini driver makin sering tidak mau ambil orderan mana banyak yg julid juga padahal gua kalo mesen selalu lebihin minimal rb akhirnya gua pilih pindah bluebird saja yg lebih sedikit drama,"['makin', 'kesini', 'driver', 'makin', 'sering', 'mau', 'ambil', 'order', 'mana', 'banyak', 'yg', 'julid', 'padahal', 'gua', 'kalo', 'mesen', 'selalu', 'lebihin', 'minimal', 'rb', 'akhir', 'gua', 'pilih', 'pindah', 'bluebird', 'yg', 'lebih', 'sedikit', 'drama']",makin kesini driver makin sering mau ambil order mana banyak yg julid padahal gua kalo mesen selalu lebihin minimal rb akhir gua pilih pindah bluebird yg lebih sedikit drama
menurut saya aplikasi nya sudah bagus namun perlu ditingkatkan pada bagian maps nya soalnya daerah rumah saya masuknya ke komplek sebelah jadi kadang berkali-kali driver masuk ke komplek sebelah bukan komplek saya,5,213,menurut saya aplikasi nya sudah bagus namun perlu ditingkatkan pada bagian maps nya soalnya daerah rumah saya masuknya ke komplek sebelah jadi kadang berkalikali driver masuk ke komplek sebelah bukan komplek saya,32,menurut saya aplikasi nya sudah bagus namun perlu ditingkatkan pada bagian maps nya soalnya daerah rumah saya masuknya ke komplek sebelah jadi kadang berkalikali driver masuk ke komplek sebelah bukan komplek saya,"['aplikasi', 'nya', 'bagus', 'perlu', 'tingkat', 'bagi', 'maps', 'nya', 'soal', 'daerah', 'rumah', 'masuk', 'komplek', 'belah', 'jadi', 'kadang', 'berkalikali', 'driver', 'masuk', 'komplek', 'belah', 'bukan', 'komplek']",aplikasi nya bagus perlu tingkat bagi maps nya soal daerah rumah masuk komplek belah jadi kadang berkalikali driver masuk komplek belah bukan komplek
ngisi data selalu di sini tapi ga pernah masuk. buang buang uang doang jadinya,1,78,ngisi data selalu di sini tapi ga pernah masuk buang buang uang doang jadinya,14,ngisi data selalu di sini tapi tidak pernah masuk buang buang uang doang jadinya,"['ngisi', 'data', 'selalu', 'sini', 'pernah', 'masuk', 'buang', 'buang', 'uang', 'doang', 'jadi']",ngisi data selalu sini pernah masuk buang buang uang doang jadi
"seharusnya kalau mau terbayar otomatis sama dompet digital minimal suruh masukin pin woy ,gua rugiiiii harus bayar dobel itupun driver masih menagih dan saya bayar dobel💔💔💔",1,172,seharusnya kalau mau terbayar otomatis sama dompet digital minimal suruh masukin pin woy gua rugiiiii harus bayar dobel itupun driver masih menagih dan saya bayar dobel,26,seharusnya kalau mau terbayar otomatis sama dompet digital minimal suruh masukin pin woy gua rugiiiii harus bayar dobel itupun driver masih menagih dan saya bayar dobel,"['kalau', 'mau', 'bayar', 'otomatis', 'sama', 'dompet', 'digital', 'minimal', 'suruh', 'masukin', 'pin', 'woy', 'gua', 'rugiiiii', 'bayar', 'dobel', 'itu', 'driver', 'tagih', 'bayar', 'dobel']",kalau mau bayar otomatis sama dompet digital minimal suruh masukin pin woy gua rugiiiii bayar dobel itu driver tagih bayar dobel
pengalaman saya bersama gojek pekerjaan saya lebih mudah dan tidak terlambat pokoknya go-jek is the best,5,104,pengalaman saya bersama gojek pekerjaan saya lebih mudah dan tidak terlambat pokoknya gojek is the best,16,pengalaman saya bersama gojek pekerjaan saya lebih mudah dan tidak terlambat pokoknya gojek is the best,"['alam', 'sama', 'gojek', 'kerja', 'lebih', 'mudah', 'lambat', 'pokok', 'gojek', 'is', 'the', 'best']",alam sama gojek kerja lebih mudah lambat pokok gojek is the best
mana nih pencarian prioritas itu cuma fitur yang gk ada fungsinya sama sekali dari jam 4 sampe jam 5 kurang gkada tuh dapet drivernya jadi cuma buang² waktu doang,2,162,mana nih pencarian prioritas itu cuma fitur yang gk ada fungsinya sama sekali dari jam sampe jam kurang gkada tuh dapet drivernya jadi cuma buang waktu doang,27,mana nih pencarian prioritas itu cuma fitur yang tidak ada fungsinya sama sekali dari jam sampe jam kurang gkada tuh dapet drivernya jadi cuma buang waktu doang,"['mana', 'nih', 'cari', 'prioritas', 'cuma', 'fitur', 'fungsi', 'sama', 'sekali', 'jam', 'sampe', 'jam', 'kurang', 'gkada', 'tuh', 'dapet', 'drivernya', 'jadi', 'cuma', 'buang', 'waktu', 'doang']",mana nih cari prioritas cuma fitur fungsi sama sekali jam sampe jam kurang gkada tuh dapet drivernya jadi cuma buang waktu doang
sangat mengecewakan tiba-tiba aplikasi terbuka sendiri lalu order gofood sendiri. seperti ada yg menghack. untuk sekelas aplikasi gojek banyak notifikasi mengganggu. jika salah klik sedikit langsung rugi banyak. sudah selayaknya uninstall.,1,239,sangat mengecewakan tibatiba aplikasi terbuka sendiri lalu order gofood sendiri seperti ada yg menghack untuk sekelas aplikasi gojek banyak notifikasi mengganggu jika salah klik sedikit langsung rugi banyak sudah selayaknya uninstall,31,sangat mengecewakan tibatiba aplikasi terbuka sendiri lalu order gofood sendiri seperti ada yg menghack untuk sekelas aplikasi gojek banyak notifikasi mengganggu jika salah klik sedikit langsung rugi banyak sudah selayaknya uninstall,"['sangat', 'kecewa', 'tibatiba', 'aplikasi', 'buka', 'sendiri', 'lalu', 'order', 'gofood', 'sendiri', 'yg', 'menghack', 'kelas', 'aplikasi', 'gojek', 'banyak', 'notifikasi', 'ganggu', 'salah', 'klik', 'sedikit', 'langsung', 'rugi', 'banyak', 'layak', 'uninstall']",sangat kecewa tibatiba aplikasi buka sendiri lalu order gofood sendiri yg menghack kelas aplikasi gojek banyak notifikasi ganggu salah klik sedikit langsung rugi banyak layak uninstall
"mo order taxi bluebird, gocar, goride dll ada di aplikasi ini gampang penggunaannya, tinggal klik lalu kita pilih sesuai keinginan kita mau gofood, gomart juga ada. pokoknya mantul gak ribet ribet deh...",5,203,mo order taxi bluebird gocar goride dll ada di aplikasi ini gampang penggunaannya tinggal klik lalu kita pilih sesuai keinginan kita mau gofood gomart juga ada pokoknya mantul gak ribet ribet deh,32,mo order taxi bluebird gocar goride dll ada di aplikasi ini gampang penggunaannya tinggal klik lalu kita pilih sesuai keinginan kita mau gofood gomart juga ada pokoknya mantap betul gak ribet ribet deh,"['mo', 'order', 'taxi', 'bluebird', 'gocar', 'goride', 'aplikasi', 'gampang', 'guna', 'tinggal', 'klik', 'lalu', 'pilih', 'sesuai', 'ingin', 'mau', 'gofood', 'gomart', 'pokok', 'mantap', 'betul', 'gak', 'ribet', 'ribet', 'deh']",mo order taxi bluebird gocar goride aplikasi gampang guna tinggal klik lalu pilih sesuai ingin mau gofood gomart pokok mantap betul gak ribet ribet deh
perjalanan jadi lebih aman dan nyaman,5,37,perjalanan jadi lebih aman dan nyaman,6,perjalanan jadi lebih aman dan nyaman,"['jalan', 'jadi', 'lebih', 'aman', 'nyaman']",jalan jadi lebih aman nyaman
gojek sangat tidak user friendly lg sekarang...terlalu banyak fitur banner iklan beban performa...,1,98,gojek sangat tidak user friendly lg sekarangterlalu banyak fitur banner iklan beban performa,13,gojek sangat tidak user friendly lagi sekarangterlalu banyak fitur banner iklan beban performa,"['gojek', 'sangat', 'user', 'friendly', 'sekarangterlalu', 'banyak', 'fitur', 'banner', 'iklan', 'beban', 'performa']",gojek sangat user friendly sekarangterlalu banyak fitur banner iklan beban performa
"sangat membantu, cuman kalau butuh gocar suka agak susah, kadang beberapa kali dibatalin",5,88,sangat membantu cuman kalau butuh gocar suka agak susah kadang beberapa kali dibatalin,13,sangat membantu cuman kalau butuh gocar suka agak susah kadang beberapa kali dibatalin,"['sangat', 'bantu', 'cuman', 'kalau', 'butuh', 'gocar', 'suka', 'susah', 'kadang', 'beberapa', 'kali', 'dibatalin']",sangat bantu cuman kalau butuh gocar suka susah kadang beberapa kali dibatalin
"mantap,perut lapar di cuaca dingin,dan mas gojek sangat ramah",5,61,mantapperut lapar di cuaca dingindan mas gojek sangat ramah,9,mantapperut lapar di cuaca dingindan mas gojek sangat ramah,"['mantapperut', 'lapar', 'cuaca', 'dingindan', 'mas', 'gojek', 'sangat', 'ramah']",mantapperut lapar cuaca dingindan mas gojek sangat ramah
"aplikasi gopay gak jelas top up uang nya gak masuk"" udah 3 hari",1,63,aplikasi gopay gak jelas top up uang nya gak masuk udah hari,12,aplikasi gopay gak jelas top up uang nya gak masuk udah hari,"['aplikasi', 'gopay', 'gak', 'jelas', 'top', 'up', 'uang', 'nya', 'gak', 'masuk', 'udah', 'hari']",aplikasi gopay gak jelas top up uang nya gak masuk udah hari
"woi gojek saya punya dua orderan nihh, resto udah tutup dan saya gabisa cancel orderan nya. gopay saya sudah terpotong. dari pihak gojek tidak ada yang bisa saya telpon untuk selesaikan masalah nya. drivernya cancel orderan dan dipindah ke driver lain lagi dan akhirnya berulang terus. tolong dibantu dan profesional dong sama mitra dan resto nya. kalo sudah closed jangan diterima orderan",1,389,woi gojek saya punya dua orderan nihh resto udah tutup dan saya gabisa cancel orderan nya gopay saya sudah terpotong dari pihak gojek tidak ada yang bisa saya telpon untuk selesaikan masalah nya drivernya cancel orderan dan dipindah ke driver lain lagi dan akhirnya berulang terus tolong dibantu dan profesional dong sama mitra dan resto nya kalo sudah closed jangan diterima orderan,62,woi gojek saya punya dua orderan nihh resto udah tutup dan saya gabisa cancel orderan nya gopay saya sudah terpotong dari pihak gojek tidak ada yang bisa saya telpon untuk selesaikan masalah nya drivernya cancel orderan dan dipindah ke driver lain lagi dan akhirnya berulang terus tolong dibantu dan profesional dong sama mitra dan resto nya kalo sudah closed jangan diterima orderan,"['woi', 'gojek', 'punya', 'order', 'nihh', 'resto', 'udah', 'tutup', 'gabisa', 'cancel', 'order', 'nya', 'gopay', 'potong', 'pihak', 'gojek', 'telpon', 'selesai', 'masalah', 'nya', 'drivernya', 'cancel', 'order', 'pindah', 'driver', 'akhir', 'ulang', 'terus', 'bantu', 'profesional', 'dong', 'sama', 'mitra', 'resto', 'nya', 'kalo', 'closed', 'jangan', 'terima', 'order']",woi gojek punya order nihh resto udah tutup gabisa cancel order nya gopay potong pihak gojek telpon selesai masalah nya drivernya cancel order pindah driver akhir ulang terus bantu profesional dong sama mitra resto nya kalo closed jangan terima order
banyak driver nya yang kasar sama males saya udah berapa naik gojek dapat yang driver kasar terus jadi mau pesen gojek agak males,2,129,banyak driver nya yang kasar sama males saya udah berapa naik gojek dapat yang driver kasar terus jadi mau pesen gojek agak males,23,banyak driver nya yang kasar sama males saya udah berapa naik gojek dapat yang driver kasar terus jadi mau pesen gojek agak males,"['banyak', 'driver', 'nya', 'kasar', 'sama', 'males', 'udah', 'berapa', 'naik', 'gojek', 'driver', 'kasar', 'terus', 'jadi', 'mau', 'sen', 'gojek', 'males']",banyak driver nya kasar sama males udah berapa naik gojek driver kasar terus jadi mau sen gojek males
"pesen gofood nunggu 3 jam , alasan driver tidak ada terus akhirnya ke cancel dan gajadi makan, ga work it bangett",1,113,pesen gofood nunggu jam alasan driver tidak ada terus akhirnya ke cancel dan gajadi makan ga work it bangett,19,pesen gofood nunggu jam alasan driver tidak ada terus akhirnya ke cancel dan gajadi makan tidak work it bangett,"['sen', 'gofood', 'nunggu', 'jam', 'alas', 'driver', 'terus', 'akhir', 'cancel', 'gajadi', 'makan', 'work', 'it', 'bangett']",sen gofood nunggu jam alas driver terus akhir cancel gajadi makan work it bangett
"gojek f, drivernya susah bnget di cari apalagi pas malam. sangat sangat tidak rekomendasi kesel gw sama aplikasi ini gw mau buru2 ehhhh dapetin driver susah amat udah pakai prioritas malahan tetap aja susah. jelek pokoknya",1,222,gojek f drivernya susah bnget di cari apalagi pas malam sangat sangat tidak rekomendasi kesel gw sama aplikasi ini gw mau buru ehhhh dapetin driver susah amat udah pakai prioritas malahan tetap aja susah jelek pokoknya,36,gojek f drivernya susah bnget di cari apalagi pas malam sangat sangat tidak rekomendasi kesel gw sama aplikasi ini gw mau buru ehhhh dapetin driver susah amat udah pakai prioritas malahan tetap saja susah jelek pokoknya,"['gojek', 'f', 'drivernya', 'susah', 'bnget', 'cari', 'pas', 'malam', 'sangat', 'sangat', 'rekomendasi', 'kesel', 'gw', 'sama', 'aplikasi', 'gw', 'mau', 'buru', 'ehhhh', 'dapetin', 'driver', 'susah', 'udah', 'pakai', 'prioritas', 'malah', 'tetap', 'susah', 'jelek', 'pokok']",gojek f drivernya susah bnget cari pas malam sangat sangat rekomendasi kesel gw sama aplikasi gw mau buru ehhhh dapetin driver susah udah pakai prioritas malah tetap susah jelek pokok
"hargany mahal, ongkir juga mahal, driver nggak dapet mulu kalo gak di bayr mahal, nggak ngebantu samsek",1,103,hargany mahal ongkir juga mahal driver nggak dapet mulu kalo gak di bayr mahal nggak ngebantu samsek,17,hargany mahal ongkir juga mahal driver tidak dapet mulu kalo gak di bayr mahal tidak ngebantu samsek,"['hargany', 'mahal', 'ongkir', 'mahal', 'driver', 'dapet', 'mulu', 'kalo', 'gak', 'bayr', 'mahal', 'ngebantu', 'samsek']",hargany mahal ongkir mahal driver dapet mulu kalo gak bayr mahal ngebantu samsek
"pesan makanan dari jam 8 pagi sampai jam 10 belum di kirim², padahal jarak pengiriman hanya 2km saja, dan pas pesan grab lama sekali tidak datang², sampai saya telat sekolah",1,173,pesan makanan dari jam pagi sampai jam belum di kirim padahal jarak pengiriman hanya km saja dan pas pesan grab lama sekali tidak datang sampai saya telat sekolah,28,pesan makanan dari jam pagi sampai jam belum di kirim padahal jarak pengiriman hanya km saja dan pas pesan grab lama sekali tidak datang sampai saya telat sekolah,"['pesan', 'makan', 'jam', 'pagi', 'jam', 'kirim', 'padahal', 'jarak', 'kirim', 'km', 'pas', 'pesan', 'grab', 'lama', 'sekali', 'datang', 'telat', 'sekolah']",pesan makan jam pagi jam kirim padahal jarak kirim km pas pesan grab lama sekali datang telat sekolah
semoga lancar gojek,5,19,semoga lancar gojek,3,semoga lancar gojek,"['moga', 'lancar', 'gojek']",moga lancar gojek
bagus.fitur melimpah bisa beli makanan bisa minta antar barang bisa antar dan jemput.pokoknya ini aplikasi berguna banget 👍👌,5,124,bagusfitur melimpah bisa beli makanan bisa minta antar barang bisa antar dan jemputpokoknya ini aplikasi berguna banget,17,bagusfitur melimpah bisa beli makanan bisa minta antar barang bisa antar dan jemputpokoknya ini aplikasi berguna banget,"['bagusfitur', 'limpah', 'beli', 'makan', 'minta', 'antar', 'barang', 'antar', 'jemputpokoknya', 'aplikasi', 'guna', 'banget']",bagusfitur limpah beli makan minta antar barang antar jemputpokoknya aplikasi guna banget
"makin kesini makin sulit cari driver untuk gofood , tolong diperbaiki !!!",1,73,makin kesini makin sulit cari driver untuk gofood tolong diperbaiki,10,makin kesini makin sulit cari driver untuk gofood tolong diperbaiki,"['makin', 'kesini', 'makin', 'sulit', 'cari', 'driver', 'gofood', 'baik']",makin kesini makin sulit cari driver gofood baik
"aplikasi tolol, susah banget cari driver buat ambil gofood",1,58,aplikasi tolol susah banget cari driver buat ambil gofood,9,aplikasi tolol susah banget cari driver buat ambil gofood,"['aplikasi', 'tolol', 'susah', 'banget', 'cari', 'driver', 'buat', 'ambil', 'gofood']",aplikasi tolol susah banget cari driver buat ambil gofood
banyak diskonnya sukaakkkk🤍🤍🤍🤍,5,30,banyak diskonnya sukaakkkk,3,banyak diskonnya sukaakkkk,"['banyak', 'diskon', 'sukaakkkk']",banyak diskon sukaakkkk
cari drivernya lama padahal udah aktifin fitur pencarian cepat dengan tambahan biaya tapi gak dapat2..padahal di sekitar terlihat banyak driver👎🏿udah sekitar 20 menit nungguin gak ada yang nerima semua para drivernya..dan juga para driver mesti sy kasih tip tambahan meskipun gak banyak,1,286,cari drivernya lama padahal udah aktifin fitur pencarian cepat dengan tambahan biaya tapi gak dapatpadahal di sekitar terlihat banyak driverudah sekitar menit nungguin gak ada yang nerima semua para drivernyadan juga para driver mesti sy kasih tip tambahan meskipun gak banyak,41,cari drivernya lama padahal udah aktifin fitur pencarian cepat dengan tambahan biaya tapi gak dapatpadahal di sekitar terlihat banyak driverudah sekitar menit nungguin gak ada yang nerima semua para drivernyadan juga para driver mesti sy kasih tip tambahan meskipun gak banyak,"['cari', 'drivernya', 'lama', 'padahal', 'udah', 'aktifin', 'fitur', 'cari', 'cepat', 'tambah', 'biaya', 'gak', 'dapatpadahal', 'lihat', 'banyak', 'driverudah', 'menit', 'nungguin', 'gak', 'nerima', 'semua', 'drivernyadan', 'driver', 'mesti', 'sy', 'kasih', 'tip', 'tambah', 'meski', 'gak', 'banyak']",cari drivernya lama padahal udah aktifin fitur cari cepat tambah biaya gak dapatpadahal lihat banyak driverudah menit nungguin gak nerima semua drivernyadan driver mesti sy kasih tip tambah meski gak banyak
makanan tidak sampai ke pemesan,1,31,makanan tidak sampai ke pemesan,5,makanan tidak sampai ke pemesan,"['makan', 'mes']",makan mes
